Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,4,wav2vec_py_config_0,1:GPU,Yes,782.2,81.9,52.6
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,5,wav2vec_py_config_0,1:GPU,Yes,782.2,80.0,53.8
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,8,wav2vec_py_config_0,1:GPU,Yes,782.2,80.3,58.9
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,7,wav2vec_py_config_0,1:GPU,Yes,782.2,80.3,53.9
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,6,wav2vec_py_config_0,1:GPU,Yes,782.2,80.3,52.5
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,3,wav2vec_py_config_0,1:GPU,Yes,782.2,3.1,27.0
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,2,wav2vec_py_config_0,1:GPU,Yes,782.2,2.5,25.2
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,1,wav2vec_py_config_0,1:GPU,Yes,782.2,1.2,25.1
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,4,wav2vec_py_config_default,1:GPU,Yes,782.2,79.0,51.1
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,5,wav2vec_py_config_default,1:GPU,Yes,782.2,78.6,54.3
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,6,wav2vec_py_config_default,1:GPU,Yes,782.2,78.7,54.8
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,7,wav2vec_py_config_default,1:GPU,Yes,782.2,79.1,54.1
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,8,wav2vec_py_config_default,1:GPU,Yes,782.2,79.4,54.6
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,3,wav2vec_py_config_default,1:GPU,Yes,782.2,7.7,28.1
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,2,wav2vec_py_config_default,1:GPU,Yes,782.2,4.3,25.7
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,1,wav2vec_py_config_default,1:GPU,Yes,782.2,2.6,25.3
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,4,wav2vec_py_config_1,1:GPU,Yes,782.2,70.7,51.9
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,5,wav2vec_py_config_1,1:GPU,Yes,782.2,78.0,53.0
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,6,wav2vec_py_config_1,1:GPU,Yes,782.2,74.3,53.0
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,7,wav2vec_py_config_1,1:GPU,Yes,782.2,75.9,53.9
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,8,wav2vec_py_config_1,1:GPU,Yes,782.2,80.3,52.4
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,3,wav2vec_py_config_1,1:GPU,Yes,782.2,2.1,25.7
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,2,wav2vec_py_config_1,1:GPU,Yes,782.2,1.8,24.3
wav2vec_py,GPU-beeaf840-b907-69d4-0e77-bbf1c2a69fe5,1,1,wav2vec_py_config_1,1:GPU,Yes,782.2,0.9,24.5

