Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
wav2vec_py,1,4,wav2vec_py_config_0,1:GPU,16,Yes,44.6,97.1
wav2vec_py,1,5,wav2vec_py_config_0,1:GPU,16,Yes,44.6,179.8
wav2vec_py,1,8,wav2vec_py_config_0,1:GPU,16,Yes,44.6,180.3
wav2vec_py,1,7,wav2vec_py_config_0,1:GPU,16,Yes,44.0,181.7
wav2vec_py,1,6,wav2vec_py_config_0,1:GPU,16,Yes,44.0,205.0
wav2vec_py,1,3,wav2vec_py_config_0,1:GPU,16,Yes,1.4,2083.0
wav2vec_py,1,2,wav2vec_py_config_0,1:GPU,16,Yes,1.0,2061.0
wav2vec_py,1,1,wav2vec_py_config_0,1:GPU,16,Yes,0.5,2031.6
wav2vec_py,1,4,wav2vec_py_config_default,1:GPU,16,Yes,44.0,96.6
wav2vec_py,1,5,wav2vec_py_config_default,1:GPU,16,Yes,44.0,182.4
wav2vec_py,1,6,wav2vec_py_config_default,1:GPU,16,Yes,44.0,183.4
wav2vec_py,1,7,wav2vec_py_config_default,1:GPU,16,Yes,43.9,183.4
wav2vec_py,1,8,wav2vec_py_config_default,1:GPU,16,Yes,44.0,184.7
wav2vec_py,1,3,wav2vec_py_config_default,1:GPU,16,Yes,2.8,1083.6
wav2vec_py,1,2,wav2vec_py_config_default,1:GPU,16,Yes,1.9,1056.7
wav2vec_py,1,1,wav2vec_py_config_default,1:GPU,16,Yes,1.0,1031.9
wav2vec_py,1,4,wav2vec_py_config_1,1:GPU,16,Yes,44.0,97.3
wav2vec_py,1,5,wav2vec_py_config_1,1:GPU,16,Yes,44.6,178.0
wav2vec_py,1,6,wav2vec_py_config_1,1:GPU,16,Yes,44.6,178.3
wav2vec_py,1,7,wav2vec_py_config_1,1:GPU,16,Yes,44.6,179.1
wav2vec_py,1,8,wav2vec_py_config_1,1:GPU,16,Yes,44.6,210.6
wav2vec_py,1,3,wav2vec_py_config_1,1:GPU,16,Yes,1.0,3082.6
wav2vec_py,1,2,wav2vec_py_config_1,1:GPU,16,Yes,0.7,3055.6
wav2vec_py,1,1,wav2vec_py_config_1,1:GPU,16,Yes,0.3,3030.0

